Drug_ID	Target_ID	Y
AAAPQZDYNWUVQA-UHFFFAOYSA-N	P21554	1
AAAPQZDYNWUVQA-UHFFFAOYSA-N	P34972	0
AACDCSBTWQKCLH-MCPWVCTESA-N	P0DMS8	0
AACDCSBTWQKCLH-MCPWVCTESA-N	P28190	1
AACWUFIIMOHGSO-UHFFFAOYSA-N	P29274	1
AACWUFIIMOHGSO-UHFFFAOYSA-N	P30542	0
AACWUFIIMOHGSO-UHFFFAOYSA-N	P30543	1
AADBHVDMLFAXQC-HSZRJFAPSA-N	P25100	0
AADBHVDMLFAXQC-HSZRJFAPSA-N	P35348	1
AADBHVDMLFAXQC-HSZRJFAPSA-N	P35368	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P08908	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P14416	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P14842	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P18901	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P19020	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P19327	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P21917	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P22086	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P30729	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P35462	1
AADCDMQTJNYOSS-LBPRGKRZSA-N	P43140	0
AADCDMQTJNYOSS-LBPRGKRZSA-N	P61169	1
AADCDMQTJNYOSS-UHFFFAOYSA-N	P08908	0
AADCDMQTJNYOSS-UHFFFAOYSA-N	P14416	1
AADCDMQTJNYOSS-UHFFFAOYSA-N	P21917	1
AADCDMQTJNYOSS-UHFFFAOYSA-N	P35462	1
AADWBQLQKGQDIM-UHFFFAOYSA-N	P14416	1
AADWBQLQKGQDIM-UHFFFAOYSA-N	P21917	1
AADWBQLQKGQDIM-UHFFFAOYSA-N	P35462	1
AADWBQLQKGQDIM-UHFFFAOYSA-N	P50129	0
AADWBQLQKGQDIM-UHFFFAOYSA-N	P50130	0
AAEJZGVELWMPGK-UHFFFAOYSA-N	P34976	1
AAEJZGVELWMPGK-UHFFFAOYSA-N	P35351	0
AAELFMMXNFMCCW-BXKDBHETSA-N	P28223	0
AAELFMMXNFMCCW-BXKDBHETSA-N	P28335	1
AAELFMMXNFMCCW-BXKDBHETSA-N	P41595	1
AAEVPRISMKXZKU-UHFFFAOYSA-N	O95136	0
AAEVPRISMKXZKU-UHFFFAOYSA-N	O95977	0
AAEVPRISMKXZKU-UHFFFAOYSA-N	P21453	1
AAEVPRISMKXZKU-UHFFFAOYSA-N	Q99500	0
AAEXAWXHXYDQNR-UHFFFAOYSA-N	Q7TQP3	0
AAEXAWXHXYDQNR-UHFFFAOYSA-N	Q8TDV5	1
AAFLHUGZAQQWED-PLNGDYQASA-N	P08908	0
AAFLHUGZAQQWED-PLNGDYQASA-N	P28221	0
AAFLHUGZAQQWED-PLNGDYQASA-N	P28222	1
AAFLHUGZAQQWED-SNAWJCMRSA-N	P28221	0
AAFLHUGZAQQWED-SNAWJCMRSA-N	P28222	1
